Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation
Home,W,3,0,Alavés,3.2,0.3,79,"52,356",Lionel Messi,4-4-2,4-5-1
Away,W,1,0,Valladolid,1.0,0.4,64,"22,651",Lionel Messi,4-3-3,4-3-1-2
Home,W,8,2,Huesca,5.3,1.7,68,"72,892",Lionel Messi,4-3-3,4-4-2
Away,W,2,1,Real Sociedad,1.4,1.4,69,"26,756",Lionel Messi,4-3-3,4-1-2-1-2
Home,D,2,2,Girona,1.4,1.5,67,"76,055",Lionel Messi,4-3-3,5-3-2
Away,L,1,2,Leganés,0.4,1.1,77,"12,231",Lionel Messi,4-3-3,5-4-1
Home,D,1,1,Athletic Club,3.2,0.9,70,"78,015",Gerard Piqué,4-3-3,4-2-3-1
Away,D,1,1,Valencia,0.4,1.5,75,"46,249",Lionel Messi,4-3-3,4-4-2
Home,W,4,2,Sevilla,2.5,2.2,53,"88,712",Lionel Messi,4-3-3,3-5-2
Home,W,5,1,Real Madrid,3.0,2.1,53,"93,265",Sergio Busquets,4-3-3,4-3-3
Away,W,3,2,Rayo Vallecano,1.9,1.6,69,"13,785",Sergio Busquets,4-3-3,4-1-4-1
Home,L,3,4,Betis,3.8,2.3,55,"83,174",Lionel Messi,4-3-3,3-4-1-2
Away,D,1,1,Atlético Madrid,0.6,0.2,69,"67,204",Lionel Messi,4-4-2,4-4-2
Home,W,2,0,Villarreal,1.0,1.1,62,"73,003",Lionel Messi,4-1-4-1,4-5-1
Away,W,4,0,Espanyol,2.9,1.1,55,"24,037",Lionel Messi,4-3-3,4-4-1-1
Away,W,5,0,Levante,3.7,1.0,57,"23,736",Lionel Messi,3-5-2,3-5-2
Home,W,2,0,Celta Vigo,1.4,0.6,52,"78,686",Lionel Messi,4-3-3,4-4-2
Away,W,2,1,Getafe,1.5,1.2,75,"14,721",Lionel Messi,4-3-3,4-4-2
Home,W,3,0,Eibar,1.1,0.9,58,"71,039",Lionel Messi,4-3-3,4-2-3-1
Home,W,3,1,Leganés,1.8,0.9,72,"50,670",Sergio Busquets,4-3-3,5-4-1
Away,W,2,0,Girona,2.2,1.3,64,"14,021",Lionel Messi,4-3-3,3-5-2
Home,D,2,2,Valencia,2.0,3.3,68,"76,789",Lionel Messi,4-3-3,4-4-2
Away,D,0,0,Athletic Club,0.7,1.3,67,"47,557",Lionel Messi,4-3-3,4-2-3-1
Home,W,1,0,Valladolid,3.7,0.4,61,"67,435",Lionel Messi,4-3-3,3-4-1-2
Away,W,4,2,Sevilla,1.8,1.6,60,"40,661",Lionel Messi,4-3-3,4-4-1-1
Away,W,1,0,Real Madrid,1.1,0.9,51,"78,921",Lionel Messi,4-3-3,4-3-3
Home,W,3,1,Rayo Vallecano,2.4,0.4,68,"74,158",Lionel Messi,4-3-3,5-4-1
Away,W,4,1,Betis,3.0,1.2,44,"54,172",Lionel Messi,4-4-2,3-1-4-2
Home,W,2,0,Espanyol,1.3,0.2,69,"92,795",Lionel Messi,4-3-3,5-3-2
Away,D,4,4,Villarreal,2.7,2.2,68,"19,515",Sergio Busquets,4-3-3,3-4-3
Home,W,2,0,Atlético Madrid,2.6,0.8,64,"92,453",Lionel Messi,4-3-3,4-4-2
Away,D,0,0,Huesca,1.1,0.2,73,"7,332",Marc-André ter Stegen,3-1-4-2,4-1-4-1
Home,W,2,1,Real Sociedad,1.1,1.5,50,"75,470",Lionel Messi,4-3-3,4-3-3
Away,W,2,0,Alavés,2.5,0.3,76,"18,735",Sergio Busquets,4-3-3,5-4-1
Home,W,1,0,Levante,2.1,1.0,62,"91,917",Gerard Piqué,4-3-3,4-1-4-1
Away,L,0,2,Celta Vigo,0.5,1.9,65,"22,519",Jasper Cillessen,4-3-3,4-4-2
Home,W,2,0,Getafe,2.4,1.2,78,"57,088",Lionel Messi,4-3-3,4-4-2
Away,D,2,2,Eibar,1.1,1.5,60,"5,145",Lionel Messi,4-3-3,4-4-2
