Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation
Home,W,4,0,Villarreal,2.6,0.2,57,,Lionel Messi,4-2-3-1,4-4-2
Away,W,3,0,Celta Vigo,0.7,0.5,56,,Lionel Messi,4-2-3-1,5-3-2
Home,D,1,1,Sevilla,1.0,1.5,55,,Lionel Messi,4-2-3-1,4-3-3
Away,L,0,1,Getafe,0.7,1.6,72,,Lionel Messi,4-2-3-1,4-4-2
Home,L,1,3,Real Madrid,1.8,3.0,53,,Lionel Messi,4-4-2,4-3-3
Away,D,1,1,Alavés,1.9,1.2,79,,Lionel Messi,4-2-3-1,4-1-4-1
Home,W,5,2,Betis,3.4,1.1,59,,Sergio Busquets,4-4-2,4-2-3-1
Away,L,0,1,Atlético Madrid,0.9,0.5,54,,Lionel Messi,4-2-3-1,5-3-2
Home,W,4,0,Osasuna,3.7,1.5,71,,Lionel Messi,4-3-3,4-4-2
Away,L,1,2,Cádiz,1.5,2.5,82,,Lionel Messi,4-2-3-1,4-1-4-1
Home,W,1,0,Levante,2.1,1.0,63,,Lionel Messi,4-2-3-1,4-4-2
Home,W,2,1,Real Sociedad,2.5,1.8,53,,Lionel Messi,4-2-3-1,4-3-3
Home,D,2,2,Valencia,2.3,1.6,72,,Lionel Messi,4-1-4-1,4-4-2
Away,W,3,0,Valladolid,3.0,0.8,61,,Lionel Messi,3-4-3,4-4-2
Home,D,1,1,Eibar,2.2,0.6,72,,Marc-André ter Stegen,3-4-3,4-2-3-1
Away,W,1,0,Huesca,3.0,0.8,69,,Lionel Messi,4-3-3,4-3-3
Away,W,3,2,Athletic Club,1.6,0.6,57,,Lionel Messi,4-3-3,4-4-2
Away,W,4,0,Granada,0.9,0.5,72,,Lionel Messi,4-3-3,4-2-3-1
Away,W,2,0,Elche,2.6,0.5,65,,Sergio Busquets,4-3-3,4-1-4-1
Home,W,2,1,Athletic Club,1.9,0.3,58,,Lionel Messi,4-2-3-1,4-4-2
Away,W,3,2,Betis,1.3,1.8,63,,Sergio Busquets,4-3-3,4-2-3-1
Home,W,5,1,Alavés,2.4,0.7,73,,Lionel Messi,4-3-3,4-4-2
Home,D,1,1,Cádiz,2.2,1.4,81,,Lionel Messi,4-3-3,4-1-4-1
Home,W,3,0,Elche,2.7,0.3,65,,Lionel Messi,4-3-3,3-4-3
Away,W,2,0,Sevilla,1.6,0.2,55,,Lionel Messi,3-1-4-2,4-2-3-1
Away,W,2,0,Osasuna,0.8,0.8,63,,Lionel Messi,3-1-4-2,4-4-2
Home,W,4,1,Huesca,1.1,2.2,69,,Lionel Messi,3-4-3,5-3-2
Away,W,6,1,Real Sociedad,2.8,0.9,69,,Lionel Messi,3-4-3,3-4-3
Home,W,1,0,Valladolid,1.6,0.4,68,,Lionel Messi,3-4-3,3-5-2
Away,L,1,2,Real Madrid,1.3,1.5,69,,Lionel Messi,3-4-3,4-1-4-1
Home,W,5,2,Getafe,1.7,1.5,80,,Lionel Messi,3-5-2,4-3-3
Away,W,2,1,Villarreal,2.8,0.9,56,,Lionel Messi,3-1-4-2,4-4-2
Home,L,1,2,Granada,1.4,0.7,81,,Lionel Messi,3-1-4-2,3-4-3
Away,W,3,2,Valencia,3.0,1.2,68,,Lionel Messi,3-1-4-2,5-3-2
Home,D,0,0,Atlético Madrid,0.9,0.8,59,,Lionel Messi,3-1-4-2,3-4-3
Away,D,3,3,Levante,2.7,1.1,60,,Lionel Messi,3-1-4-2,4-4-2
Home,L,1,2,Celta Vigo,2.5,0.7,64,,Lionel Messi,3-1-4-2,4-4-2
