Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation
Away,D,0,0,Getafe,1.4,0.6,74,"13,410",Marc-André ter Stegen,4-2-3-1,4-5-1
Home,W,2,0,Cádiz,3.4,1.1,74,"39,603",Marc-André ter Stegen,3-4-3,4-4-2
Away,W,4,3,Villarreal,3.1,1.9,60,"21,679",Sergi Roberto,4-3-3,4-4-2
Away,W,2,1,Osasuna,2.0,0.8,69,"21,966",Sergi Roberto,4-3-3,4-1-4-1
Home,W,5,0,Betis,2.4,0.8,65,"45,055",Marc-André ter Stegen,4-3-3,4-2-3-1
Home,W,3,2,Celta Vigo,1.6,1.5,74,"43,272",Marc-André ter Stegen,4-3-3,5-3-2
Away,D,2,2,Mallorca,1.9,0.8,69,"19,939",Marc-André ter Stegen,4-3-3,5-3-2
Home,W,1,0,Sevilla,2.4,1.1,58,"41,116",Marc-André ter Stegen,4-3-3,4-2-3-1
Away,D,2,2,Granada,3.0,0.8,80,"20,354",Marc-André ter Stegen,4-3-3,5-4-1
Home,W,1,0,Athletic Club,1.3,0.4,62,"38,194",Marc-André ter Stegen,4-3-3,4-2-3-1
Home,L,1,2,Real Madrid,1.5,1.1,53,"50,112",Marc-André ter Stegen,3-4-1-2,4-1-3-2
Away,W,1,0,Real Sociedad,1.2,0.9,49,"37,555",Marc-André ter Stegen,3-4-1-2,4-3-3
Home,W,2,1,Alavés,1.6,1.7,71,"38,183",Marc-André ter Stegen,4-2-3-1,5-4-1
Away,D,1,1,Rayo Vallecano,1.0,0.7,67,"14,148",Frenkie de Jong,4-2-3-1,4-4-2
Home,W,1,0,Atlético Madrid,2.6,0.6,58,"34,568",Ronald Araújo,4-3-3,5-3-2
Home,L,2,4,Girona,3.7,2.5,54,"42,848",Ronald Araújo,4-3-3,3-4-3
Away,D,1,1,Valencia,3.2,0.5,63,"46,492",Ronald Araújo,4-3-3,4-4-2
Home,W,3,2,Almería,3.4,1.6,65,"34,471",Sergi Roberto,4-3-3,5-3-2
Away,W,2,1,Las Palmas,2.4,0.7,56,"31,712",Sergi Roberto,4-3-3,4-3-3
Away,W,4,2,Betis,3.0,1.1,63,"53,288",Ronald Araújo,4-3-3,4-2-3-1
Home,L,3,5,Villarreal,2.2,2.1,70,"46,229",Ronald Araújo,4-3-3,4-4-2
Home,W,1,0,Osasuna,1.9,1.0,68,"37,888",Ronald Araújo,4-3-3,5-3-2
Away,W,3,1,Alavés,1.2,1.0,64,"19,480",Ronald Araújo,4-3-3,4-2-3-1
Home,D,3,3,Granada,2.3,1.4,65,"41,901",Marc-André ter Stegen,4-3-3,4-1-4-1
Away,W,2,1,Celta Vigo,1.5,0.8,66,"23,096",Marc-André ter Stegen,4-3-3,4-4-2
Home,W,4,0,Getafe,3.1,0.5,67,"36,803",Marc-André ter Stegen,4-3-3,4-5-1
Away,D,0,0,Athletic Club,0.7,0.4,60,"50,295",Marc-André ter Stegen,4-3-3,4-2-3-1
Home,W,1,0,Mallorca,2.0,0.6,63,"38,225",Marc-André ter Stegen,4-3-3,5-3-2
Away,W,3,0,Atlético Madrid,1.5,0.8,59,"68,253",Sergi Roberto,4-3-3,3-4-3
Home,W,1,0,Las Palmas,1.7,0.3,69,"46,788",Sergi Roberto,4-3-3,4-5-1
Away,W,1,0,Cádiz,0.9,1.0,62,"19,607",Sergi Roberto,4-3-3,4-4-2
Away,L,2,3,Real Madrid,1.4,2.3,53,"77,981",Marc-André ter Stegen,4-3-3,4-1-2-1-2
Home,W,4,2,Valencia,2.2,2.1,80,"30,167",Marc-André ter Stegen,4-3-3,4-4-2
Away,L,2,4,Girona,2.6,1.8,60,"14,090",Sergi Roberto,4-3-3,4-2-3-1
Home,W,2,0,Real Sociedad,2.1,0.7,56,"35,829",Marc-André ter Stegen,4-3-3,3-4-3
Away,W,2,0,Almería,1.6,0.9,64,"15,543",Sergi Roberto,4-3-3,4-2-3-1
Home,W,3,0,Rayo Vallecano,1.3,1.3,72,"35,823",Sergi Roberto,4-2-3-1,4-1-4-1
