Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation
Home,W,2,0,Betis,1.1,0.1,61,"56,480",Lionel Messi,4-4-1-1,4-1-4-1
Away,W,2,0,Alavés,2.5,0.9,73,"19,356",Andrés Iniesta,4-3-3,4-5-1
Home,W,5,0,Espanyol,5.1,0.7,76,"72,857",Andrés Iniesta,4-4-2,4-4-2
Away,W,2,1,Getafe,0.4,1.0,70,"15,164",Andrés Iniesta,4-3-3,4-2-3-1
Home,W,6,1,Eibar,2.4,1.3,61,"51,645",Andrés Iniesta,4-3-3,4-2-3-1
Away,W,3,0,Girona,1.0,0.7,60,"13,305",Lionel Messi,4-4-2,3-5-1-1
Home,W,3,0,Las Palmas,4.0,0.7,48,,Lionel Messi,4-4-2,4-2-3-1
Away,D,1,1,Atlético Madrid,1.4,0.2,68,"64,393",Andrés Iniesta,4-4-2,4-4-2
Home,W,2,0,Málaga,1.9,0.6,65,"74,397",Andrés Iniesta,4-4-2,4-2-3-1
Away,W,2,0,Athletic Club,2.7,1.1,60,"43,570",Lionel Messi,4-4-2,4-2-3-1
Home,W,2,1,Sevilla,2.1,0.6,52,"70,723",Andrés Iniesta,4-4-2,4-2-3-1
Away,W,3,0,Leganés,2.6,1.5,67,"11,454",Andrés Iniesta,4-4-2,4-2-3-1
Away,D,1,1,Valencia,1.0,1.2,69,"47,775",Andrés Iniesta,4-4-2,4-4-2
Home,D,2,2,Celta Vigo,3.7,2.0,65,"63,208",Andrés Iniesta,4-1-2-1-2◆,4-4-2
Away,W,2,0,Villarreal,3.5,0.7,68,"21,087",Lionel Messi,4-4-2,4-5-1
Home,W,4,0,La Coruña,5.6,0.3,60,"53,607",Andrés Iniesta,4-4-2,4-2-3-1
Away,W,3,0,Real Madrid,2.6,1.0,55,"80,264",Andrés Iniesta,4-4-2,4-1-3-2
Home,W,3,0,Levante,1.8,0.7,71,"56,380",Andrés Iniesta,4-4-2,4-5-1
Away,W,4,2,Real Sociedad,1.3,0.8,50,"23,277",Lionel Messi,4-4-2,4-4-1-1
Away,W,5,0,Betis,2.1,0.4,52,"53,426",Lionel Messi,4-4-2,3-4-1-2
Home,W,2,1,Alavés,2.1,1.0,77,"62,369",Andrés Iniesta,4-4-2,4-4-2
Away,D,1,1,Espanyol,0.8,0.8,72,"23,287",Andrés Iniesta,4-3-3,4-4-2
Home,D,0,0,Getafe,1.0,0.4,79,"75,681",Lionel Messi,4-4-2,4-4-2
Away,W,2,0,Eibar,2.4,0.7,54,"6,760",Andrés Iniesta,4-1-2-1-2◆,4-2-3-1
Home,W,6,1,Girona,2.8,0.7,62,"85,417",Lionel Messi,4-4-2,3-4-3
Away,D,1,1,Las Palmas,1.0,1.6,64,"23,778",Andrés Iniesta,4-4-2,4-2-3-1
Home,W,1,0,Atlético Madrid,0.9,0.2,58,"90,356",Andrés Iniesta,4-4-2,4-4-2
Away,W,2,0,Málaga,2.1,0.7,75,"26,667",Sergio Busquets,4-3-3,4-4-2
Home,W,2,0,Athletic Club,2.4,0.7,59,"84,053",Lionel Messi,4-4-2,4-2-3-1
Away,D,2,2,Sevilla,1.7,2.6,60,"37,588",Andrés Iniesta,4-3-3,4-2-3-1
Home,W,3,1,Leganés,2.4,0.6,68,"72,126",Lionel Messi,4-2-3-1,4-2-3-1
Home,W,2,1,Valencia,1.7,2.2,62,"69,544",Andrés Iniesta,4-4-2,4-4-2
Away,D,2,2,Celta Vigo,2.0,3.6,53,"20,347",Marc-André ter Stegen,4-2-3-1,3-5-2
Away,W,4,2,La Coruña,3.6,2.3,62,"25,721",Lionel Messi,4-3-3,4-1-2-1-2
Home,D,2,2,Real Madrid,1.4,2.0,50,"97,939",Andrés Iniesta,4-4-2,4-3-3
Home,W,5,1,Villarreal,2.8,1.0,56,"54,743",Andrés Iniesta,4-3-3,4-4-2
Away,L,4,5,Levante,2.3,3.6,65,"22,384",Andrés Iniesta,4-2-3-1,4-4-2
