Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation
Home,D,0,0,Rayo Vallecano,1.9,0.5,67,"81,104",Sergio Busquets,4-3-3,4-2-3-1
Away,W,4,1,Real Sociedad,2.1,0.8,58,"36,201",Marc-André ter Stegen,3-2-4-1,4-1-2-1-2
Home,W,4,0,Valladolid,2.6,0.8,67,"83,972",Sergio Busquets,4-3-3,4-1-4-1
Away,W,3,0,Sevilla,4.0,1.0,54,"40,233",Sergio Busquets,4-3-3,4-3-3
Away,W,4,0,Cádiz,3.4,0.4,70,"19,530",Sergio Busquets,4-3-3,4-2-3-1
Home,W,3,0,Elche,3.9,0.0,76,"85,073",Marc-André ter Stegen,4-3-3,5-4-1
Away,W,1,0,Mallorca,0.7,1.2,71,"18,103",Sergio Busquets,4-3-3,5-4-1
Home,W,1,0,Celta Vigo,2.0,1.5,57,"81,525",Sergio Busquets,4-3-3,4-1-3-2
Away,L,1,3,Real Madrid,2.0,1.1,56,"62,876",Sergio Busquets,4-3-3,4-3-3
Home,W,3,0,Villarreal,2.1,0.4,69,"73,261",Sergi Roberto,4-3-3,4-4-2
Home,W,4,0,Athletic Club,1.4,0.5,65,"84,817",Sergio Busquets,4-3-3,4-2-3-1
Away,W,1,0,Valencia,1.6,0.2,67,"46,007",Sergio Busquets,4-3-3,4-3-3
Home,W,2,0,Almería,4.0,0.5,70,"92,605",Gerard Piqué,4-3-3,5-3-2
Away,W,2,1,Osasuna,0.8,1.0,53,"21,603",Sergio Busquets,4-3-3,4-4-1-1
Home,D,1,1,Espanyol,2.2,0.9,77,"88,095",Sergi Roberto,4-3-3,4-2-3-1
Away,W,1,0,Atlético Madrid,0.7,1.7,58,"63,493",Sergio Busquets,4-3-3,4-4-2
Home,W,1,0,Getafe,0.7,1.1,67,"79,814",Sergio Busquets,4-3-3,5-4-1
Away,W,1,0,Girona,1.1,1.1,59,"13,402",Sergio Busquets,4-3-3,4-4-2
Away,W,2,1,Betis,1.9,0.6,63,"48,181",Sergio Busquets,4-3-3,4-2-3-1
Home,W,3,0,Sevilla,2.7,0.1,65,"77,987",Sergio Busquets,4-3-3,5-4-1
Away,W,1,0,Villarreal,1.7,1.1,46,"21,178",Marc-André ter Stegen,4-3-3,4-4-2
Home,W,2,0,Cádiz,2.2,1.0,64,"72,010",Sergi Roberto,4-3-3,4-2-3-1
Away,L,0,1,Almería,1.4,1.0,72,"15,279",Sergio Busquets,4-3-3,4-4-2
Home,W,1,0,Valencia,1.8,1.0,53,"89,644",Sergio Busquets,4-3-3,4-5-1
Away,W,1,0,Athletic Club,0.9,0.9,62,"49,741",Sergio Busquets,4-3-3,4-2-3-1
Home,W,2,1,Real Madrid,1.6,0.5,54,"95,745",Sergio Busquets,4-3-3,4-2-3-1
Away,W,4,0,Elche,1.7,0.8,59,"28,142",Sergi Roberto,4-3-3,4-4-1-1
Home,D,0,0,Girona,1.3,0.6,59,"78,425",Sergio Busquets,4-3-3,4-1-4-1
Away,D,0,0,Getafe,1.5,0.5,65,"14,854",Sergio Busquets,4-3-3,5-3-2
Home,W,1,0,Atlético Madrid,1.8,1.3,62,"80,965",Sergio Busquets,4-2-3-1,5-3-2
Away,L,1,2,Rayo Vallecano,0.9,0.7,60,"13,657",Marc-André ter Stegen,4-3-3,4-4-2
Home,W,4,0,Betis,3.0,0.2,67,"88,530",Sergio Busquets,4-3-3,4-2-3-1
Home,W,1,0,Osasuna,2.8,0.4,76,"76,061",Sergio Busquets,4-2-3-1,4-2-3-1
Away,W,4,2,Espanyol,3.1,2.7,69,"27,360",Sergio Busquets,4-3-3,5-3-2
Home,L,1,2,Real Sociedad,1.5,2.0,67,"88,049",Sergio Busquets,4-3-3,4-2-3-1
Away,L,1,3,Valladolid,1.7,2.3,69,"22,341",Sergi Roberto,4-3-3,4-2-3-1
Home,W,3,0,Mallorca,3.6,0.1,78,"88,775",Sergio Busquets,4-3-3,5-4-1
Away,L,1,2,Celta Vigo,1.2,0.7,71,"23,365",Sergi Roberto,4-3-3,4-3-3
