Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation
Home,W,4,2,Real Sociedad,2.8,0.8,62,"20,384",Sergio Busquets,4-3-3,4-2-3-1
Away,D,1,1,Athletic Club,1.0,1.4,67,"9,394",Sergio Busquets,4-3-3,4-4-2
Home,W,2,1,Getafe,1.1,0.4,66,"26,543",Sergio Busquets,4-3-3,4-4-2
Home,D,1,1,Granada,1.8,0.8,76,"27,097",Sergio Busquets,4-3-3,4-1-4-1
Away,D,0,0,Cádiz,0.4,1.3,67,"12,180",Sergio Busquets,4-3-3,4-4-2
Home,W,3,0,Levante,2.9,0.8,70,"35,334",Sergio Busquets,4-2-3-1,4-4-2
Away,L,0,2,Atlético Madrid,0.7,1.2,70,"60,594",Sergio Busquets,4-2-3-1,3-1-4-2
Home,W,3,1,Valencia,1.9,0.4,60,"47,317",Sergio Busquets,4-3-3,4-1-4-1
Home,L,1,2,Real Madrid,1.6,1.5,51,"86,422",Sergio Busquets,4-3-3,4-3-3
Away,L,0,1,Rayo Vallecano,2.5,0.8,68,"9,340",Sergio Busquets,4-3-3,4-2-3-1
Home,D,1,1,Alavés,1.3,0.9,79,"37,278",Sergio Busquets,4-3-3,4-2-3-1
Away,D,3,3,Celta Vigo,0.9,1.5,48,"13,146",Sergio Busquets,4-3-3,4-1-3-2
Home,W,1,0,Espanyol,1.4,1.0,65,"74,418",Sergio Busquets,4-3-3,4-1-4-1
Away,W,3,1,Villarreal,3.2,1.1,50,"19,050",Sergio Busquets,4-3-3,4-4-2
Home,L,0,1,Betis,1.0,0.6,63,"66,529",Sergio Busquets,4-3-3,4-2-3-1
Away,D,2,2,Osasuna,0.9,0.3,61,"21,427",Sergio Busquets,3-3-3-1,4-1-4-1
Home,W,3,2,Elche,2.7,1.3,72,"41,664",Sergio Busquets,3-4-3◆,4-4-2
Away,D,1,1,Sevilla,1.8,0.3,58,"31,358",Sergio Busquets,4-3-3,4-3-3
Away,W,1,0,Mallorca,1.3,0.8,64,"14,654",Gerard Piqué,4-3-3,4-2-3-1
Away,D,1,1,Granada,0.6,0.9,64,"14,442",Sergio Busquets,4-3-3,4-4-2
Away,W,1,0,Alavés,1.5,0.6,75,"14,056",Sergio Busquets,4-3-3,4-2-3-1
Home,W,4,2,Atlético Madrid,1.0,1.3,56,"74,221",Sergio Busquets,4-3-3,4-3-3
Away,D,2,2,Espanyol,1.5,1.1,64,"25,049",Sergio Busquets,4-3-3,4-1-4-1
Away,W,4,1,Valencia,2.0,0.8,64,"38,315",Sergio Busquets,4-3-3,4-4-2
Home,W,4,0,Athletic Club,3.1,0.3,71,"69,770",Sergio Busquets,4-3-3,4-4-2
Away,W,2,1,Elche,4.1,1.1,67,"30,146",Sergio Busquets,4-3-3,4-4-2
Home,W,4,0,Osasuna,3.6,0.2,72,"54,507",Sergio Busquets,4-3-3,4-4-1-1
Away,W,4,0,Real Madrid,3.4,0.8,60,"60,017",Sergio Busquets,4-3-3,4-2-4-0
Home,W,1,0,Sevilla,1.9,0.6,55,"76,112",Sergio Busquets,4-3-3,4-2-3-1
Away,W,3,2,Levante,1.2,3.4,63,"20,785",Sergio Busquets,4-3-3,5-3-2
Home,L,0,1,Cádiz,1.2,1.7,74,"57,495",Sergio Busquets,4-3-3,4-2-3-1
Away,W,1,0,Real Sociedad,1.1,0.8,45,"35,128",Sergio Busquets,4-3-3,4-1-3-2
Home,L,0,1,Rayo Vallecano,1.7,0.3,70,"57,023",Sergio Busquets,4-3-3,4-2-3-1
Home,W,2,1,Mallorca,1.2,1.0,70,"62,789",Sergio Busquets,4-3-3,3-4-1-2
Away,W,2,1,Betis,1.2,0.7,57,"46,132",Sergio Busquets,4-3-3,4-2-3-1
Home,W,3,1,Celta Vigo,1.1,0.7,54,"55,899",Jordi Alba,4-2-3-1,4-1-3-2
Away,D,0,0,Getafe,0.2,0.3,71,"13,072",Sergio Busquets,4-3-3,5-3-2
